Из 	 из
записей 	 запись
Веры 	 вера
Николаевны 	 николай
1 	 1
янв 	 янв
1928/19 	 1928/19
дек 	 дек
1927 	 1927
Францию 	 франция
с 	 с
Новым 	 новый
Годом 	 год
А 	 а
я 	 я
еще 	 ещё
не 	 не
чувствую 	 чувствовать
что 	 что
Новый 	 новый
год 	 год
идет 	 идти
хотя 	 хотя
уже 	 уже
8 	 8
лет 	 год
встречаю 	 встречать
его 	 он
во 	 в
Франции 	 франция
и 	 и
все 	 весь
привыкла 	 привыкнуть
 	 
2 	 2
января 	 январь
В 	 в
Днях 	 день
напечатан 	 напечатать
рассказ 	 рассказ
Г 	 год
Н 	 наш
Кузнецовой 	 кузнецов
-- 	 --
М 	 метр
Статья 	 статья
Макеева 	 макеев
о 	 о
Совр 	 совр
Зап. 	 зап.
Восхищается 	 восхищаться
Божьим 	 божий
Древом1 	 древом1
но 	 но
говорит 	 говорить
эта 	 этот
жизнь 	 жизнь
канула 	 кануть
в 	 в
вечность 	 вечность
Ян 	 ян
сказал 	 сказать
Я 	 я
пишу 	 писать
душе 	 душа
русского 	 русский
человека 	 человек
при 	 при
чем 	 чем
здесь 	 здесь
старое 	 старое
новое 	 новое
Вероятно 	 вероятно
теперь 	 теперь
какой-нибудь 	 какой-нибудь
Яков 	 яков
Еф 	 еф
трясет 	 трясти
портками 	 портки
теми 	 тот
же 	 же
присказками 	 присказка
они 	 они
это 	 это
картины 	 картина
старой 	 старый
жизни 	 жизнь
да 	 да
этом 	 это
дело 	 дело
сегодня 	 сегодня
память 	 память
мамы 	 мама
Утром 	 утром
молилась 	 молиться
Грустно 	 грустно
могу 	 мочь
отслужить 	 отслужить
панихиды 	 панихида
Утешаюсь 	 утешаться
вероятно 	 вероятно
отслужат 	 отслужить
Москве 	 москва
конспекта 	 конспект
Ивана 	 иван
Алексеевича 	 алексей
написанного 	 написать
почерком 	 почерк
на 	 на
основе 	 основа
уничтоженных 	 уничтожить
9 	 9
нов 	 новый
ст 	 ст
дальше 	 далёкий
по 	 по
н 	 наш
На 	 на
пути 	 путь
Cannes 	 cannes
слезли 	 слезть
доезжая 	 доезжать
пошли 	 послать
рощам 	 роща
мимоз 	 мимоза
Солнечн 	 солнечн
предвечернее 	 предвечерний
время 	 время
24 	 24
Кузнецова 	 кузнецов
начала 	 начало
переписывать 	 переписывать
вторую 	 два
книгу 	 книга
Жизни 	 жизнь
Арсеньева 	 арсеньев
27 	 27
Кончила 	 кончить
переписку 	 переписка
31 	 31
Напечатан 	 напечатать
Кунак 	 кунак
1.2 	 1.2
Весенний 	 весенний
день 	 день
Нарвала 	 нарвал
саду 	 сад
принесла 	 принести
мне 	 я
белых 	 белых
цветов 	 цветок
запахом 	 запах
нарциссов 	 нарцисс
4.2 	 4.2
Голые 	 голый
деревья 	 дерево
фоне 	 фон
облаков 	 облако
лунную 	 лунный
ночь 	 ночь
Облака 	 облако
кажутся 	 казаться
особенно 	 особенно
белыми 	 белый
7.2 	 7.2
При 	 при
луне 	 луна
Ниццкой 	 ниццкий
дороге 	 дорога
Кипарисы 	 кипарис
созвездие 	 созвездие
Ориона 	 орион
Кончил 	 кончить
кн 	 кн
Ж 	 ж
А. 	 а.
18.2 	 18.2
Отъезд 	 отъезд
Париж 	 париж
19.2 	 19.2
Hotel 	 hotel
Gavarni 	 gavarni
номера 	 номер
16 	 16
14 	 14
21 	 21
Завтрак 	 завтрак
у 	 у
Ага 	 ага
(в 	 (в
ресторанчике 	 ресторанчик
лавке 	 лавка
rue 	 rue
de 	 de
la 	 la
Pompe) 	 pompe)
20 	 20
С 	 с
Зайцевым 	 зайцев
Chez 	 chez
Francis 	 francis
22.2 	 22.2
Алдановым 	 алданов
23.2 	 23.2
Обед 	 обед
чай 	 чаять
Цетлиных 	 цетлин
Вера 	 вера
Николаевна 	 николай
записывает 	 записывать
23 	 23
февраля 	 февраль
1928 	 1928
г 	 год
Вчера 	 вчера
видели 	 видеть
Алданова 	 алданов
он 	 он
очень 	 очень
изменился 	 измениться
пополнел 	 пополнеть
стал 	 стать
каким-то 	 какой-то
солидным 	 солидный
такой 	 такой
милый 	 милый
деликатный 	 деликатный
заботливый 	 заботливый
Это 	 это
боится 	 бояться
моих 	 мой
дневников 	 дневник
жаловался 	 жаловаться
Цвибаку2 	 цвибаку2
Обедали 	 обедать
ушла 	 уйти
играть 	 играть
поккер 	 поккер
а 	 а
мы 	 мы
Ос 	 ос
лекцию 	 лекция
Адамовича 	 адам
которая 	 который
состоялась 	 состояться
виду 	 вид
того 	 тот
пришло 	 пришлый
4 	 4
вместе 	 вместе
лектором 	 лектор
горя 	 горе
полосатый 	 полосатый
бар 	 бар
Много 	 много
говорили 	 говорить
литературе 	 литература
Залили 	 залить
Берберовой3 	 берберовой3
за 	 за
шкуру 	 шкура
покончила 	 покончить
самоубийством 	 самоубийство
Нина 	 нина
Петровская4 	 петровская4
Верочка 	 верочка
Зайцева 	 зайцев
рассказывала 	 рассказывать
она 	 она
пила 	 пила
прибегала 	 прибегать
к 	 к
наркотикам 	 наркотик
45 	 45
дней 	 день
назад 	 назад
умерла 	 умереть
ее 	 она
сестра 	 сестра
тыкала 	 тыкать
нее 	 нея
булавки 	 булавка
затем 	 затем
колола 	 колоть
себя 	 себя
чтобы 	 чтобы
заразиться 	 заразиться
трупным 	 трупный
ядом 	 яд
Но 	 но
яд 	 яд
брал 	 брать
Жутко 	 жутко
представить 	 представить
было 	 быть
Жаль 	 жаль
знаю 	 знать
мало 	 мало
Почему-то 	 почему-то
вспоминается 	 вспоминаться
какая-то 	 какой-то
выставка 	 выставка
Строган[овском 	 строган[овский
училище 	 училище
пустые 	 пустой
залы 	 зала
одной 	 один
углу 	 угол
безжизненная 	 безжизненный
фигура 	 фигура
Брюсова5 	 брюсова5
застегнутом 	 застегнуть
сюртуке 	 сюртук
мохнатая 	 мохнатый
черная 	 чёрный
голова 	 голова
Нины 	 нина
маленьком 	 маленький
туловище 	 туловище
26 	 26
ф 	 ф
Похороны 	 похороны
расстроили 	 расстроить
больше 	 большой
ожидала 	 ожидать
Народу 	 народ
немного 	 немного
Больше 	 большой
женщины 	 женщина
Мужчин 	 мужчина
только 	 только
четверо 	 четверо
Боря 	 боря
Б 	 б
К 	 к
Зайцев 	 зайцев
Ходасевич 	 ходасевич
Соколов 	 соколов
нотариус 	 нотариус
др 	 др
Унковский 	 унковский
Гроб 	 гроб
простой 	 простой
досчатый 	 досчатый
церкви 	 церковь
покрыт 	 покрыть
был 	 быть
черным 	 чёрный
сукном 	 сукно
серебряными 	 серебряный
галунами 	 галун
И 	 и
от 	 от
этой 	 этот
простоты 	 простота
отсутствия 	 отсутствие
обычной 	 обычный
похоронах 	 похороны
пышности 	 пышность
жутко 	 жутко
Перебрались 	 перебраться
Four 	 four
Комнатка 	 комнатка
маленькая 	 маленький
есть 	 есть
У 	 у
Яна 	 ян
просторно 	 просторно
Галины 	 галина
солнечно 	 солнечно
февр 	 фёвр
Вот 	 вот
Великий 	 великий
Пост 	 пост
были 	 быть
типографии 	 типография
отвезли 	 отвезти
часть 	 часть
Читал 	 читать
Цетлин 	 цетлина
ему 	 он
понравилось 	 понравиться
Видела 	 видеть
как 	 как
делают 	 делать
набор 	 набор
вроде 	 вроде
пишущей 	 пишущий
машинке 	 машинка
выскакивают 	 выскакивать
свинцовые 	 свинцовый
плиточки 	 плиточка
Приехала 	 приехать
1/2 	 1/2
ч 	 число
церковь 	 церковь
Пила 	 пила
кофе 	 кофе
Служил 	 служилый
Владыка 	 владыка
Он 	 он
похудел 	 похуделый
лицо 	 лицо
стало 	 стать
благороднее 	 благородный
хорошо 	 хорошо
читает 	 читать
него 	 он
необыкновенно 	 необыкновенно
приятный 	 приятный
голос 	 голос
Обедала 	 обедать
ресторане 	 ресторан
Не 	 не
ела 	 есть
мяса 	 мясо
Решила 	 решить
так 	 так
поститься 	 поститься
всю 	 весь
неделю 	 неделя
Потом 	 потом
Зеленую 	 зелёный
Лампу 	 лампа
Под 	 под
зеленой 	 зелёный
лампой 	 лампа
рассуждали 	 рассуждать
насколько 	 насколько
Евангелия 	 евангелия
святы 	 святой
после 	 после
неприятно 	 неприятно
Дм 	 дм
болен 	 больной
Зин 	 зина
Ник 	 ник
была 	 быть
любезна 	 любезный
оживлена 	 оживить
мила 	 мила
когда 	 когда
сидела 	 сидеть
столом 	 стол
то 	 то
как-то 	 как-то
съежилась 	 съёжиться
жалко 	 жалко
ушли 	 уйти
Левиными 	 левин
Тэффи 	 тэффи
Ходасевичами 	 ходасевич
Берберовой 	 берберов
Жизнь 	 жизнь
понравилась 	 понравиться
нас 	 мы
Ив 	 ива
Ал 	 ала
разный 	 разный
подход 	 подход
28 	 28
Ефимоны 	 ефимона
поехала 	 поехать
Серг 	 серг
Подворье 	 подворье
дворе 	 двор
психопатка 	 психопатка
Эристова 	 эристовый
влюбленная 	 влюбить
Владыку 	 владыка
уговаривала 	 уговаривать
меня 	 я
исповедоваться 	 исповедоваться
Владыки 	 владыка
Иоанн 	 иоанн
Кронштадтский 	 кронштадтский
никогда 	 никогда
любил 	 любить
плотской 	 плотский
любовью 	 любовь
молчала 	 молчать
зная 	 знать
ответить 	 ответить
счастью 	 счастие
прошел 	 пройти
мимо 	 мимо
Карташев 	 карташева
извинилась 	 извиниться
пошла 	 пошлый
ним 	 он
Студенты 	 студент
черных 	 чёрный
подрясниках 	 подрясник
Полутьма 	 полутьма
пустота 	 пустота
мягкий 	 мягкий
Евлогия 	 евлогий
действовали 	 действовать
душу 	 душить
После 	 после
службы 	 служба
зашли 	 заслать
Каллаш 	 каллаша
кабачок 	 кабачок
дневниковых 	 дневниковый
записях 	 запись
перерыв 	 перерыв
до 	 до
мая 	 май
Делаю 	 делать
выписки 	 выписка
из 	 из
Бунина 	 бунин
10.3 	 10.3
Зеленая 	 зелёный
Лампа 	 лампа
11.3 	 11.3
Латинском 	 латинский
квартале 	 квартал
12.3 	 12.3
Куприна 	 куприн
14.3 	 14.3
Ужин 	 ужин
еврейском 	 еврейский
15 	 15
3 	 3
Бал 	 бал
писателей 	 писатель
17.3 	 17.3
Юбилей 	 юбилей
Барятинского 	 барятинский
Москва 	 москва
18.3 	 18.3
Чешск 	 чешск
ресторан 	 ресторан
19.3 	 19.3
Евр[ейский 	 евр[ейский
синема 	 синемой
22.3 	 22.3
Викинг 	 викинг
Зайцевых 	 зайцев
25.3 	 25.3
Чай 	 чаять
Вечер 	 вечер
Юшкевича 	 юшк
29 	 29
Прюнье 	 прюнья
1.4 	 1.4
Михайловых 	 михайлов
ними 	 они
5.4 	 5.4
Парижа 	 париж
5 	 5
вечера 	 вечер
остановка 	 остановка
Дижоне 	 дижон
отель 	 отель
La 	 la
Cloche 	 cloche
6.4 	 6.4
час 	 час
дня 	 день
Дижона 	 дижон
Пересадка 	 пересадка
Лионе 	 лион
Гренобль 	 гренобль
Гр 	 гр
Ночевка 	 ночёвка
там 	 там
7.4 	 7.4
полдень 	 полдень
Гренобля 	 гренобль
Digne-Nice 	 digne-nice
Auban 	 auban
6 	 6
пересадка 	 пересадка
Digne 	 digne
Ночь 	 ночь
Легли 	 лечь
Встали 	 встать
8.4 	 8.4
утра 	 утро
Ментоне 	 ментоня
du 	 du
Parc 	 parc
13.4 	 13.4
Ходили 	 ходить
вынос 	 вынос
Плащаницы 	 плащаница
Наша 	 наш
Страстная 	 страстный
дневника 	 дневник
1/14 	 1/14
Давно 	 давно
писала 	 писать
по-настоящему 	 по-настоящему
дневник 	 дневник
делать 	 делать
сравнительно 	 сравнительно
спокойна 	 спокойный
Внутренний 	 внутренний
писать 	 писать
трудно 	 трудно
стыдно 	 стыдно
Легче 	 лёгкий
приятнее 	 приятный
описывать 	 описывать
внешнюю 	 внешний
заносить 	 заносить
разные 	 разный
события 	 событие
встречи 	 встреча
Грассе 	 грасс
Все 	 весь
устроилось 	 устроиться
жаждем 	 жаждать
начать 	 начать
работать 	 работать
Мы 	 мы
устали 	 устать
кочевой 	 кочевой
клонит 	 клонить
сон 	 сон
Галину 	 галина
мил 	 мила
нежен 	 нежный
весел 	 весёлый
завтра 	 завтра
сядет 	 сесть
заниматься 	 заниматься
придет 	 прийти
книжка 	 книжка
примется 	 приняться
значит 	 значит
сейчас 	 сейчас
буду 	 быть
Может 	 мочь
быть 	 быть
месяц 	 месяц
промучаюсь 	 промучаться
нужно 	 нужно
обломать 	 обломать
выбрать 	 выбрать
просеять 	 просеять
Дождь 	 дождь
грязь 	 грязь
обеда 	 обед
Яном 	 ян
город 	 город
вдруг 	 вдруг
Марк 	 марк
Александрович 	 александр
Алданов 	 алдан
Очень 	 очень
обрадовались 	 обрадоваться
За 	 за
чаем 	 чаемый
спорили 	 спорить
Ил 	 ил
Ис 	 иса
Фондаминский 	 фондаминский
доказывал 	 доказывать
победить 	 победить
большевиков 	 большевик
можно 	 можно
лишь 	 лишь
духовной 	 духовный
силой 	 силой
считает 	 считать
большевизм 	 большевизм
держится 	 держаться
чека 	 чек
может 	 мочь
свергнут 	 свергнуть
двумя 	 два
путями 	 путь
или 	 или
дворцовым 	 дворцовый
переворотом 	 переворот
войной 	 война
находит 	 находить
революция 	 революция
произошла 	 произойти
потому 	 потому
война 	 война
избежать 	 избежать
революцию 	 революция
бы 	 бы
том 	 тот
случае 	 случай
если 	 если
дарована 	 даровать
конституция 	 конституция
Александром 	 александр
II 	 ii
согласился 	 согласиться
равно 	 равно
удовольствовались 	 удовольствоваться
дал 	 дать
Александр 	 александр
I 	 i
тогда 	 тогда
иное 	 иной
Ведь 	 ведь
Радищевым6 	 радищевым6
началось 	 начаться
неприятие 	 неприятие
вернее 	 верный
критика 	 критика
сожалению 	 сожаление
своей 	 свой
ненужной 	 ненужный
щепетильности 	 щепетильность
торопиться 	 торопиться
автобус 	 автобус
повели 	 повелеть
верхом 	 верхом
природу 	 природа
словам 	 слово
чеховский 	 чеховский
кучер 	 кучер
смотрит 	 смотреть
свысока 	 свысока
18 	 18
Сегодня 	 сегодня
юбилей 	 юбилей
Яблоновского 	 яблоновский
спор 	 спорый
ли 	 ли
устраивать 	 устраивать
подобные 	 подобный
юбилеи 	 юбилей
возмущен 	 возмутить
Чин 	 чин
нарушен 	 нарушить
Глупо 	 глупо
конечно 	 конечно
печатается 	 печататься
председ 	 председой
ак 	 ак
нахожу 	 находить
всякий 	 всякий
человек 	 человек
справлять 	 справлять
свой 	 свой
никакого 	 никакой
чина 	 чин
нарушено 	 нарушить
27/14 	 27/14
Сейчас 	 сейчас
Опять 	 опять
разговор 	 разговор
Степуне 	 степуна
Илис 	 илиса
Читаю 	 читать
Как 	 как
почитали 	 почитать
гораздо 	 гораздо
бледнее 	 бледный
Степуна 	 степуна
горжусь 	 гордиться
тем 	 тем
открыл 	 открыть
познакомились 	 познакомиться
18-ом 	 18-ом
году 	 год
почти 	 почти
никто 	 никто
знал 	 знать
приехал 	 приехать
сюда 	 сюда
сразу 	 сразу
схватился 	 схватиться
боялись 	 бояться
редакции 	 редакция
Говорили 	 говорить
кто 	 кто
знает 	 знать
монархист 	 монархист
другой 	 другой
убедить 	 убедить
искать 	 искать
людей 	 человек
понимают 	 понимать
составляется 	 составляться
всякое 	 всякий
общественное 	 общественный
течение 	 течение
Напр 	 например
славянофильское 	 славянофильский
Хомяков 	 хомяк
обосновал 	 обосновать
настроение 	 настроение
группы 	 группа
мотор 	 мотор
Завидую 	 завидовать
вам 	 вы
вы 	 вы
знаете 	 знаете
данный 	 данный
момент 	 момент
Абсолютной 	 абсолютный
истины 	 истина
нет 	 нет
история 	 история
делается 	 делаться
людьми 	 человек
которые 	 который
знают 	 знать
истину 	 истина
Да 	 да
правда 	 правда
кажется 	 кажется
правильный 	 правильный
путь 	 путь
духовно-национально-социалистический 	 духовно-национально-социалистический
думаю 	 думать
Илиса 	 илиса
социализм 	 социализм
тоже 	 тоже
первом 	 первое
месте 	 место
верно 	 верно
чувствует 	 чувствовать
упускает 	 упускать
чего 	 что
11 	 11
июня 	 июнь
крутится 	 крутиться
никак 	 никак
усядется 	 усесться
вот-вот 	 вот-вот
погрузится 	 погрузиться
весь 	 весь
убирался 	 убираться
конспекте 	 конспект
значится 	 значиться
Начал 	 начать
третью 	 три
Приехал 	 приехать
6/7 	 6/7
июля 	 июль
спится 	 спаться
Третий 	 три
Равнодушие 	 равнодушие
убивает 	 убивать
претензии 	 претензия
нельзя 	 нельзя
сам 	 сам
смятении 	 смятение
ездит 	 ездить
купаться 	 купаться
устает 	 уставать
плохо 	 плохо
спит 	 спать
волнуется 	 волноваться
Ждет 	 ждать
нетерпением 	 нетерпение
Рощина 	 рощин
Ему 	 он
приедет 	 приехать
наладится 	 наладиться
грех 	 грех
обманул 	 обмануть
спросил 	 спросить
Берберову 	 берберов
Ну 	 ну
мэтр 	 мэтр
совершенно 	 совершенно
серьезно 	 серьёзно
ответила 	 ответить
Мэтр 	 мэтр
т 	 том
д. 	 д.
16/17 	 16/17
третий 	 три
опять 	 опять
сплю 	 спать
З 	 з
Гиппиус 	 гиппиус
deux 	 deux
ней 	 она
недолго 	 недолго
никаких 	 никакой
неприятных 	 неприятный
сплетен 	 сплетня
слыхала 	 слыхать
Борис 	 борис
дважды 	 дважды
оборвал 	 оборвать
умеет 	 уметь
взволновало 	 взволновать
августа 	 август
Уехал 	 уехать
Немного 	 немного
грустно 	 грустно
Зайцеве 	 зайцев
светлость 	 светлость
понимание 	 понимание
чего-то 	 чего-то
нужного 	 нужный
чувство 	 чувство
правильности 	 правильность
своего 	 свой
великое 	 великое
счастье 	 счастие
Религиозность 	 религиозность
опора 	 опора
защита 	 защита
некая 	 некий
собственной 	 собственный
плоти 	 плоть
